,Listing title,eBay item ID,Store category L1,Store category L2,Quantity sold,Total sales (Includes taxes),Item sales,Taxes and government fees paid by buyer to you,Taxes and government fees paid by buyer to eBay,Shipping and handling paid by buyer to you,Total selling costs,Insertion fees,Optional listing upgrade fees,Final value fees,Promoted Listings - General fees,Promoted Listings - Priority fees,Ads Express fees,Promoted Offsite - Fees,International fees,Other eBay fees,Deposit processing fees,Fee credits,Shipping labels cost (Amount you paid to buy shipping labels on eBay),Net sales (Net of taxes and selling costs),Average Selling price,Quantity sold via promoted listing,Quantity sold via Best Offers,Quantity sold via Seller Initiated Offers
415,Choline Bitartrate 500mg | High Potency Choline Capsules | Supports Brain & Live,196286054743.0,Other,-,1.0,36.03,36.03,$0.00,$0.00,$0.00,$8.09,$0.00,$0.00,$4.85,$3.24,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,27.94,36.03,1,0,0
416,MuscleTech Vapor X5 Pre-Workout Powder: Blue Raspberry,196286065976.0,Other,-,1.0,36.03,33.36,$0.00,$2.67,$0.00,$8.09,$0.00,$0.00,$4.85,$3.24,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,25.27,36.03,1,0,0
417,"Hypoallergenic Multi-Vitamin Mineral Formula, 90 Capsules",196286081446.0,Other,-,1.0,56.07,55.31,$0.00,$0.76,$0.00,$7.32,$0.00,$0.00,$7.32,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,47.99,56.07,0,0,0
418,"WEEM Biotin Gummies for Hair, Skin & Nails - Vegan Vitamins for Growth - 10,000m",196286085623.0,Other,-,1.0,113.4,105.0,$0.00,$8.40,$0.00,$24.61,$0.00,$0.00,$14.40,$10.21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,80.39,113.4,1,1,0
419,"Echinacea Root Complex Immune Support* 900mg, 100 Capsules",196286102520.0,Other,-,1.0,22.55,22.55,$0.00,$0.00,$0.00,$5.11,$0.00,$0.00,$3.08,$2.03,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,17.44,22.55,1,0,0
420,"Metamucil Daily Fiber Supplement, 160 Capsules",196286106529.0,Other,-,1.0,32.78,32.78,$0.00,$0.00,$0.00,$7.40,$0.00,$0.00,$4.45,$2.95,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,25.38,32.78,1,0,0
421,Pure Encapsulations Choline (Bitartrate)   100 Capsules,196286117670.0,Other,-,1.0,31.4,31.4,$0.00,$0.00,$0.00,$7.11,$0.00,$0.00,$4.28,$2.83,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,24.29,31.4,1,0,0
422,"OLLY Metabolism Gummy Rings, Apple Cider Vinegar, Vitamin B12 Chewables - 30 Cou",196286938237.0,Other,-,1.0,0.0,0.0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.80,$2.48,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6.28,$0.00,0.0,0.0,1,0,0
423,Nature's Answer Garlic Extract 1oz | Promotes Well-Being & Certified Gluten-Free,196286964446.0,Other,-,1.0,19.35,19.35,$0.00,$0.00,$0.00,$4.53,$0.00,$0.00,$2.79,$1.74,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,14.82,19.35,1,0,0
424,Pure Encapsulations Men's Nutrients - 180 Capsules,196286978256.0,Other,-,1.0,113.63,109.0,$0.00,$4.63,$0.00,$14.43,$0.00,$0.00,$14.43,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,94.57,113.63,0,0,0
425,Zarbee's Children's Sleep Melatonin Chewable Tabs - 30 ct x 2,196287041539.0,Other,-,1.0,30.35,30.35,$0.00,$0.00,$0.00,$6.78,$0.00,$0.00,$4.05,$2.73,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,23.57,30.35,1,0,0
426,"Puritan's Pride Absorbable Calcium 1200 mg with Vitamin D 1000 IU, 100 Softgels",196287045681.0,Other,-,1.0,10.87,10.87,$0.00,$0.00,$0.00,$2.62,$0.00,$0.00,$1.64,$0.98,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,8.25,10.87,1,0,0
427,Arbonne Essentials - Protein Shake Mix 2 lbs - Vanilla,196287047576.0,Other,-,1.0,150.0,138.09,$0.00,$11.91,$0.00,$32.43,$0.00,$0.00,$18.93,$13.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,105.66,150.0,1,0,0
428,"Weekly-D Vitamin D3 50,000 IU | 12 Softgel Cholecalciferol Supplements",196287050299.0,Other,-,1.0,16.83,16.18,$0.00,$0.65,$0.00,$2.38,$0.00,$0.00,$2.38,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,13.8,16.83,0,0,0
429,"Hapyvergo 1800w Garment Steamer, 1 Hour Continuous Steaming",196287397847.0,Other,-,1.0,260.14,237.57,$0.00,$22.57,$0.00,$73.59,$0.00,$0.00,$32.53,$23.41,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$17.65,163.98,260.14,1,0,0
430,"Hamilton Beach 12x15"" Ceramic Electric Skillet with Removable Pan",196287506389.0,Other,-,1.0,108.59,102.44,$0.00,$6.15,$0.00,$23.58,$0.00,$0.00,$13.81,$9.77,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,78.86,108.59,1,0,0
431,Suteck Greek Yogurt Maker with Timer & 9 Glass Jars,196287512433.0,Other,-,1.0,60.27,55.59,$0.00,$4.68,$0.00,$13.26,$0.00,$0.00,$7.84,$5.42,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,42.33,60.27,1,0,0
432,"Wavytalk Mini Flat Iron 0.7 Inch Ceramic Small Hair Straightener - Short Hair, C",196287516316.0,Other,-,1.0,26.2,23.71,$0.00,$2.49,$0.00,$6.00,$0.00,$0.00,$3.64,$2.36,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,17.71,26.2,1,0,0
433,"TetraMin Nutritionally Balanced Tropical Flake Food for Tropical Fish, 8.81 oz",196287609455.0,Other,-,1.0,16.97,15.86,$0.00,$1.11,$0.00,$10.26,$0.00,$0.00,$2.40,$1.53,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6.33,5.6,16.97,1,0,0
434,"Emerson 0.7 CU. FT. 700 Watt, Touch Control, Black Microwave Oven, MW7302B",196287632686.0,Other,-,1.0,116.0,106.96,$0.00,$9.04,$0.00,$25.17,$0.00,$0.00,$14.73,$10.44,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,81.79,116.0,1,0,0
435,"Ninja Thirsti Drink System, Create Unique Drinks, WC1001.",196287684889.0,Other,-,1.0,235.7,218.24,$0.00,$17.46,$0.00,$29.51,$0.00,$0.00,$29.51,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,188.73,235.7,0,0,0
436,"Kiriner 2 Burner Gas Cooktop, 12"" Portable Stainless Steel Gas Stove for Kitchen",196287782632.0,Other,-,1.0,0.0,0.0,$0.00,$0.00,$0.00,$0.40,$0.00,$0.00,$21.15,$15.12,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$35.87,$0.00,-0.4,0.0,1,0,0
437,"FIREGAS 30"" Wall Mount Range Hood, 450 CFM Stainless Steel Kitchen Vent",196288603659.0,Other,-,1.0,272.14,250.94,$0.00,$21.20,$0.00,$58.50,$0.00,$0.00,$34.01,$24.49,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,192.44,272.14,1,0,0
438,French Press Coffee Maker - 34oz with 4 Level Filtration by Cafe Du Chateau,196288619116.0,Other,-,1.0,47.08,47.08,$0.00,$0.00,$0.00,$6.21,$0.00,$0.00,$6.21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,40.87,47.08,0,0,0
439,"OVENTE Immersion Hand Blender 300W 2 Speed Stainless Blades, Red HS560R",196288629435.0,Other,-,1.0,23.46,21.57,$0.00,$1.89,$0.00,$5.41,$0.00,$0.00,$3.30,$2.11,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,16.16,23.46,1,0,0
440,"Fullstar Vegetable Chopper with Container - Pro Food Slicer Dicer (Hand Chopper,",196288634305.0,Other,-,1.0,30.42,28.0,$0.00,$2.42,$0.00,$6.80,$0.00,$0.00,$4.06,$2.74,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,21.2,30.42,1,1,0
441,"Cast Iron Griddle Set  Grill Press, Scrapers -Preseasoned, Non-Stick, 17 x 9 inc",196288645238.0,Other,-,1.0,85.53,77.58,$0.00,$7.95,$0.00,$10.96,$0.00,$0.00,$10.96,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,66.62,85.53,0,0,0
442,"ICEPURE 3-in-1 Water Cooler Dispenser with Built-in Ice Maker, Hot/Cold Water, B",196288730174.0,Other,-,1.0,537.23,494.69,$0.00,$42.54,$0.00,$66.65,$0.00,$0.00,$66.65,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,428.04,537.23,0,0,0
443,"Tide Washer Cleaner with Oxi, Deep Clean, 5 Month Supply",196288733091.0,Other,-,1.0,18.8,18.8,$0.00,$0.00,$0.00,$2.72,$0.00,$0.00,$2.72,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,16.08,18.8,0,0,0
444,Universal Retractable Stacking Kit for Washer and Dryer,196288740342.0,Other,-,1.0,59.92,59.92,$0.00,$0.00,$0.00,$13.19,$0.00,$0.00,$7.80,$5.39,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,46.73,59.92,1,0,0
445,"Sanitaire SC679K Tradition Upright Commercial Bagged Vacuum, Red",196288907339.0,Other,-,1.0,239.52,218.24,$0.00,$21.28,$0.00,$51.44,$0.00,$0.00,$29.88,$21.56,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,166.8,239.52,1,0,0
446,Remington Shine Therapy Hair Straightener with Argan Oil   Keratin - Less Frizz,196289176713.0,Other,-,1.0,32.95,32.95,$0.00,$0.00,$0.00,$7.44,$0.00,$0.00,$4.47,$2.97,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,25.51,32.95,1,0,0
447,Remington Nose and Ear Clipper NE3150,196289188894.0,Other,-,1.0,22.47,21.0,$0.00,$1.47,$0.00,$5.20,$0.00,$0.00,$3.18,$2.02,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,15.8,22.47,1,1,0
448,"Korean Royal Gold Nose Hair Trimmer for Men, Waterproof, Manual.",196289189116.0,Other,-,1.0,29.14,29.14,$0.00,$0.00,$0.00,$8.19,$0.00,$0.00,$4.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.19,20.95,29.14,0,0,0
449,WAHL Groomsman Beard Trimmer with Light Detailing   Body Grooming - Model 9906-7,196289190397.0,Other,-,1.0,27.06,25.0,$0.00,$2.06,$0.00,$6.18,$0.00,$0.00,$3.74,$2.44,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,18.82,27.06,1,1,0
450,"OXO Gooseneck Electric Kettle - Pour Over, Tea, Coffee, Adjustable Temp, Timer, ",196289213101.0,Other,-,1.0,177.36,160.87,$0.00,$16.49,$0.00,$38.26,$0.00,$0.00,$22.30,$15.96,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,122.61,177.36,1,0,0
451,"MFSTUDIO X-Large Heavy Duty Smoker & Charcoal Grill, 942 sq.in. Cooking Area, Bl",196289284728.0,Other,-,1.0,624.18,581.99,$0.00,$42.19,$0.00,$140.53,$0.00,$0.00,$77.49,$63.04,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,441.46,624.18,1,0,0
452,"4-Pack Towel Bands for Beach & Pool Chairs, Better Towel Clips for Cruise & Beac",196290374547.0,Other,-,1.0,12.63,11.97,$0.00,$0.66,$0.00,$3.14,$0.00,$0.00,$1.86,$1.28,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,8.83,12.63,1,0,0
453,nutribullet Triple Prep System NBKS50100,196290541837.0,Other,-,1.0,339.16,313.31,$0.00,$25.85,$0.00,$101.53,$0.00,$0.00,$42.29,$34.26,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$24.98,211.78,339.16,1,0,0
454,iVoler 3-Pack Tempered Glass Screen Protector for Nintendo Switch 6.2'' - Clear,196290655474.0,Other,-,1.0,15.41,14.24,$0.00,$1.17,$0.00,$2.94,$0.00,$0.00,$1.38,$1.56,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11.3,15.41,1,0,0
455,5 Pcs Super Mario Action Figures Toys - Bros with Glasses 5'' Set Model,196290685761.0,Other,-,1.0,33.13,30.75,$0.00,$2.38,$0.00,$4.49,$0.00,$0.00,$4.49,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,26.26,33.13,0,0,0
456,Elite Controller Series 2 Charger - 9FT Halo Edition USB C Charging Cord for Xbo,196290700062.0,Other,-,1.0,22.38,21.04,$0.00,$1.34,$0.00,$2.41,$0.00,$0.00,$2.41,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,18.63,22.38,0,0,0
457,Guilty Gear -Strive- GG 25th Anniversary Edition - PlayStation 5,196290700860.0,Other,-,1.0,169.64,160.04,$0.00,$9.60,$0.00,$38.48,$0.00,$0.00,$21.35,$17.13,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,121.56,169.64,1,0,0
458,"Eclipsee Solar Eclipse Glasses (6pk) CE/ISO Certified, Sun Viewing 2024 Approved",196290843551.0,Other,-,1.0,18.21,16.82,$0.00,$1.39,$0.00,$4.49,$0.00,$0.00,$2.65,$1.84,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,12.33,18.21,1,0,0
459,"L. Pure Cotton Topsheet Pads for Women, Extra Long Overnight Pads, Maxi Pads wit",196290856092.0,Other,-,1.0,37.02,37.02,$0.00,$0.00,$0.00,$13.14,$0.00,$0.00,$4.97,$3.74,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.43,23.88,37.02,1,0,0
460,Utuichuo 10mm Straw Cover Cap for Stanley Cup - Initial Straw Topper with Letter,196290862790.0,Other,-,1.0,8.87,8.08,$0.00,$0.79,$0.00,$1.40,$0.00,$0.00,$1.40,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,6.68,8.87,0,0,0
461,"Adjustable Large Dish Drying Rack for Kitchen Counter, 2 Tier Black",196301497900.0,Other,-,1.0,0.0,0.0,$0.00,$0.00,$0.00,$15.37,$0.00,$0.00,$9.06,$6.31,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-15.37,0.0,1,0,0
462,"Samsung 6.3 Cu Ft Smart Slide-In Electric Range with Air Fry, Stainless Steel",196301556599.0,Other,-,1.0,0.0,0.0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$220.29,$160.25,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$380.54,$0.00,0.0,0.0,1,0,0
463,"Ninja BN401 Nutri Pro Personal Blender, 1100W, 2 To-Go Cups, Silver",196301576356.0,Other,-,1.0,160.72,145.78,$0.00,$14.94,$0.00,$34.71,$0.00,$0.00,$20.25,$14.46,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,111.07,160.72,1,0,0
464,"Cool Knight Electric Herb Grinder - 7.5"" Black",196301583525.0,Other,-,1.0,39.27,35.62,$0.00,$3.65,$0.00,$13.21,$0.00,$0.00,$5.25,$3.53,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.43,22.41,39.27,1,0,0
465,"Puracy Dishwasher Pods, Natural Enzyme Detergent",196302430452.0,Other,-,1.0,26.5,24.77,$0.00,$1.73,$0.00,$3.67,$0.00,$0.00,$3.67,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,21.1,26.5,0,0,0
466,"GE Profile 12,200 BTU Window AC Ultra Quiet White",196302441361.0,Other,-,1.0,1039.26,962.28,$0.00,$76.98,$0.00,$222.28,$0.00,$0.00,$128.75,$93.53,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,740.0,1039.26,1,0,0
467,"38"" Low Profile Ceiling Fan with Lights Remote, White+RGB, 6 Speeds, Black",196302450665.0,Other,-,1.0,160.77,148.0,$0.00,$12.77,$0.00,$20.26,$0.00,$0.00,$20.26,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,127.74,160.77,0,1,0
468,"Hoover Commercial Bagged Task Vac Upright Vacuum, Black, CH54100V",196302460322.0,Other,-,1.0,337.49,318.09,$0.00,$19.40,$0.00,$42.08,$0.00,$0.00,$42.08,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,276.01,337.49,0,0,0
469,"Andis 80695 1875-Watt Tourmaline Ceramic Ionic Styling Hair Dryer, Black",196302529053.0,Other,-,1.0,60.45,55.59,$0.00,$4.86,$0.00,$13.31,$0.00,$0.00,$7.87,$5.44,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,42.28,60.45,1,0,0
470,LOBINH Mens Electric Shaver - Rechargeable Waterproof Razor with Trimmer,196302537681.0,Other,-,1.0,43.61,40.76,$0.00,$2.85,$0.00,$14.18,$0.00,$0.00,$5.79,$3.92,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.47,26.58,43.61,1,0,0
471,Samsung Bespoke French Door Refrigerator Panel- Stainless Steel,196327391017.0,Other,-,1.0,0.0,0.0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$19.84,$12.91,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$32.75,$0.00,0.0,0.0,1,0,0
472,"Upstreman Mini Fridge with Freezer, Adjustable Thermostat, Black-FR17",196327398068.0,Other,-,1.0,209.27,193.01,$0.00,$16.26,$0.00,$43.40,$0.00,$0.00,$26.24,$17.16,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,149.61,209.27,1,0,0
473,Rowenta Pro Master Steam Iron 1775W DW8360,196327409822.0,Other,-,1.0,106.92,97.2,$0.00,$9.72,$0.00,$22.37,$0.00,$0.00,$13.60,$8.77,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,74.83,106.92,1,0,0
474,White GE Profile ClearView 8K BTU WiFi Window AC (Renewed),196327410899.0,Other,-,1.0,388.73,355.0,$0.00,$33.73,$0.00,$48.41,$0.00,$0.00,$48.41,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,306.59,388.73,0,1,0
475,"Fisher Paykel DD24SAX9 24"" Drawers Full Console Dishwasher in Stainless Steel",196327431871.0,Other,-,1.0,1428.46,1335.01,$0.00,$93.45,$0.00,$176.81,$0.00,$0.00,$347.68,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$170.87,$0.00,1158.2,1428.46,0,0,0
476,"Renew Life Ultimate Flora Extra Care Probiotic 50 Billion, 90 CT",196327641549.0,Other,-,1.0,109.82,109.82,$0.00,$0.00,$0.00,$22.97,$0.00,$0.00,$13.96,$9.01,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,86.85,109.82,1,0,0
477,"Ray-Ban RB2140 Original Wayfarer Square Sunglasses, Black Grey, 50 mm",196330779950.0,Other,-,1.0,0.0,0.0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$28.81,$0.00,$0.00,$0.00,$0.00,$3.80,$0.00,$0.00,$32.61,$0.00,0.0,0.0,0,1,0
478,Apex Lenses Polarized Replacement Lenses for Ray-Ban RB4228 Sunglasses (Black),196330861873.0,Other,-,1.0,66.1,61.78,$0.00,$4.32,$0.00,$9.65,$0.00,$0.00,$8.56,$0.00,$0.00,$0.00,$0.00,$1.09,$0.00,$0.00,$0.00,$0.00,52.13,66.1,0,0,0
479,"6 Pack Mixed 4-5"" Live Goldfish for Aquarium or Koi Pond",196333993929.0,Other,-,1.0,0.0,0.0,$0.00,$0.00,$0.00,$47.49,$0.00,$0.00,$16.07,$11.42,$0.00,$0.00,$0.00,$0.00,$20.00,$0.00,$0.00,$0.00,-47.49,0.0,1,0,0
